College,Courses
Macquarie University,"Accounting;;;Actuarial Studies;;;Business Administration;;;Business Analysis;;;Commerce;;;Economics;;;Finance;;;Human Resources;;;International Business;;;Management;;;Marketing;;;Adult education;;;Early Childhood;;;Indigenous Education;;;Primary Education;;;Secondary Education;;;Computer Science;;;Electronics;;;Game Design and Development;;;Information Systems;;;Mechanical Engineering;;;Robotics;;;Software Development;;;Telecommunications Engineering;;;Web Design and Development;;;Wireless Engineering;;;Animal Behaviour;;;Climate Change;;;Conservation;;;Earth Sciences;;;Ecology;;;Environmental Management;;;Environmental Science;;;Geographic Information Science;;;Geology and Geophysics;;;Marine Biology;;;Sustainability;;;Urban Planning;;;Chiropractic;;;Cognitive and Brain Sciences;;;Medical Science;;;Physiotherapy;;;Psychology;;;Public Health;;;Speech and Hearing;;;Commercial Law;;;Criminology;;;Environmental Law;;;Governance;;;International Law;;;Law and the Media;;;Policing and Intelligence;;;Public Policy;;;Security Studies;;;Social Justice;;;Diploma of Accounting, Commerce and Business Administration;;;Diploma of Engineering;;;Diploma of Information Technology;;;Diploma of Media and Communication;;;Intensive Program;;;Standard Foundation Program;;;Communications;;;Creative Writing;;;Dance;;;Film;;;Journalism;;;Media;;;Music;;;Astronomy and Astrophysics;;;Bimolecular Sciences;;;Biology;;;Biotechnology;;;Chemistry;;;Mathematics and Statistics;;;Palaebiology;;;Photonics;;;Physics;;;Ancient History;;;Anthropology;;;Community Services;;;Cultural Studies;;;Development Studies and Cultural Change;;;English Literature;;;Gender Studies;;;Geography;;;Indigenous Studies;;;International Relations;;;International Studies;;;Languages;;;Linguistics;;;Modern History;;;Philosophy;;;Politics;;;Social Sciences;;;Sociology;;;Translating and Interpreting;;;Accounting;;;Actuarial Studies;;;Business Administration;;;Business Analysis;;;Commerce;;;Economics;;;Finance;;;Human Resources;;;International Business;;;Management;;;Marketing;;;Adult education;;;Early Childhood;;;Indigenous Education;;;Primary Education;;;Secondary Education;;;Computer Science;;;Electronics;;;Game Design and Development;;;Information Systems;;;Mechanical Engineering;;;Robotics;;;Software Development;;;Telecommunications Engineering;;;Web Design and Development;;;Wireless Engineering;;;Animal Behaviour;;;Climate Change;;;Conservation;;;Earth Sciences;;;Ecology;;;Environmental Management;;;Environmental Science;;;Geographic Information Science;;;Geology and Geophysics;;;Marine Biology;;;Sustainability;;;Urban Planning;;;Chiropractic;;;Cognitive and Brain Sciences;;;Medical Science;;;Physiotherapy;;;Psychology;;;Public Health;;;Speech and Hearing;;;Commercial Law;;;Criminology;;;Environmental Law;;;Governance;;;International Law;;;Law and the Media;;;Policing and Intelligence;;;Public Policy;;;Security Studies;;;Social Justice;;;Master of Business Administration (MBA);;;Master of Management;;;Master of Social Entrepreneurship;;;Communications;;;Creative Writing;;;Dance;;;Film;;;Journalism;;;Media;;;Music;;;Astronomy and Astrophysics;;;Bimolecular Sciences;;;Biology;;;Biotechnology;;;Chemistry;;;Mathematics and Statistics;;;Palaebiology;;;Photonics;;;Physics;;;Ancient History;;;Anthropology;;;Community Services;;;Cultural Studies;;;Development Studies and Cultural Change;;;English Literature;;;Gender Studies;;;Geography;;;Indigenous Studies;;;International Relations;;;International Studies;;;Languages;;;Linguistics;;;Modern History;;;Philosophy;;;Politics;;;Social Sciences;;;Sociology;;;Translating and Interpreting"
Universidad de Lima,Career of Accounting;;;Career of Economics;;;Career of International Business;;;Career of Management;;;Career of Marketing;;;Career of Communication;;;Career of Architecture;;;Career of Civil Engineering;;;Career of Industrial Engineering;;;Career of Systems Engineering;;;Career of Law;;;Career of Psychology;;;Master in Strategic Content Management;;;Master of Business Administration (MBA);;;Master of Business Law;;;Master of Project and Operations Management;;;Master of Taxation and Fiscal Policy
University of Otago,Bachelor of Biomedical Sciences;;;Bachelor of Dental Surgery;;;Bachelor of Dental Technology;;;Bachelor of Medical Laboratory Science;;;Bachelor of Medicine and Bachelor of Surgery;;;Bachelor of Oral Health;;;Bachelor of Pharmacy;;;Bachelor of Physiotherapy;;;Bachelor of Radiation Therapy;;;Diploma for Graduates - Health Sciences;;;Bachelor of Arts;;;Bachelor of Arts and Science;;;Bachelor of Laws;;;Bachelor of Music;;;Bachelor of Performing Arts;;;Bachelor of Social Work;;;Bachelor of Teaching;;;Bachelor of Theology;;;Diploma for Graduates - Humanities;;;Diploma in Language - Humanities;;;Diploma in Language and Culture - Humanities;;;Bachelor of Commerce;;;Diploma for Graduates - Commerce;;;Bachelor of Applied Science;;;Bachelor of Arts and Science;;;Bachelor of Physical Education;;;Bachelor of Science;;;Bachelor of Surveying;;;Diploma for Graduates - Sciences;;;Diploma for Graduates - Health Sciences;;;Doctor of Clinical Dentistry;;;Doctor of Dental Science;;;Doctor of Medicine;;;Doctor of Philosophy (PhD) - Health Sciences;;;Master of Aeromedical Retrieval and Transport;;;Master of Aviation Medicine;;;Master of Bioethics and Health Law;;;Master of Clinical Pharmacy;;;Master of Community Dentistry;;;Master of Dental Surgery;;;Master of Dental Technology;;;Master of Dentistry;;;Master of General Practice;;;Master of Health Sciences;;;Master of Medical Laboratory Science;;;Master of Medical Science;;;Master of Nursing Science;;;Master of Occupational Medicine;;;Master of Opthalmology;;;Master of Oral Health;;;Master of Pharmacy;;;Master of Physiotherapy;;;Master of Primary Health Care;;;Master of Public Health;;;Master of Travel Medicine;;;Diploma for Graduates - Humanities;;;Doctor of Education;;;Doctor of Laws;;;Doctor of Literature;;;Doctor of Music;;;Doctor of Musical Arts;;;Doctor of Philosophy (PhD) - Humanities;;;Master of Arts;;;Master of Chaplaincy;;;Master of Education;;;Master of Emerging Technologies Law;;;Master of Fine Arts;;;Master of Higher Education;;;Master of Indigenous Studies;;;Master of International Studies;;;Master of Laws;;;Master of Ministry;;;Master of Music;;;Master of Peace and Conflict Studies;;;Master of Planning;;;Master of Politics;;;Master of Social Work;;;Master of Teaching;;;Master of Teaching and Learning;;;Master of Theology;;;Diploma for Graduates - Commerce;;;Doctor of Commerce;;;Doctor of Philosophy (PhD) - Commerce;;;Master of Accounting;;;Master of Business Administration;;;Master of Business Data Science;;;Master of Commerce;;;Master of Economics;;;Master of Entrepreneurship;;;Master of Finance;;;Master of International Business;;;Master of Marketing;;;Master of Professional Accounting;;;Master of Sustainable Business;;;Master of Tourism;;;Diploma for Graduates - Sciences;;;Doctor of Philosophy (PhD) - Sciences;;;Doctor of Science;;;Master of Applied Science;;;Master of Dance Studies;;;Master of Dietetics;;;Master of Physical Education;;;Master of Science;;;Master of Science Communication;;;Master of Surveying;;;Master of Wildlife Management
Chalmers University of Technology,"Affärsutveckling och entreprenörskap 180 hp (tekn. kandidatexamen);;;Arkitektur 300 hp (arkitekt);;;Arkitektur och teknik 300 hp (civilingenjör/arkitekt);;;Samhällsbyggnadsteknik 180 hp (högskoleingenjör);;;Samhällsbyggnadsteknik 300 hp (civilingenjör);;;Datateknik 180 hp (högskoleingenjör);;;Datateknik 300 hp (civilingenjör);;;Elektroteknik 180 hp (högskoleingenjör);;;Elektroteknik 300 hp (civilingenjör);;;Informationsteknik 300 hp (civilingenjör);;;Kemiteknik med fysik 300 hp (civilingenjör);;;Ekonomi och produktionsteknik 180 hp (högskoleingenjör);;;Industriell ekonomi 300 hp (civilingenjör);;;Bioteknik 300 hp (civilingenjör);;;Kemiteknik 180 hp (högskoleingenjör);;;Kemiteknik 300 hp (civilingenjör);;;Automation och mekatronik 300 hp (civilingenjör);;;Design och produktutveckling 180 hp (högskoleingenjör);;;Maskinteknik 180 hp (högskoleingenjör);;;Maskinteknik 300 hp (civilingenjör);;;Mekatronik 180 hp (högskoleingenjör);;;Teknisk design 300 hp (civilingenjör);;;Internationell logistik 180 hp (teknologie kandidatexamen);;;Sjöbefäl 60 hp (fartygsbefäl och maskinbefäl klass vii);;;Sjöingenjör 180 hp (sjöingenjörsexamen);;;Sjökapten 180 hp (sjökaptensexamen);;;Teknisk fysik 300 hp (civilingenjör);;;Teknisk matematik 300 hp (civilingenjör);;;Architecture and Planning Beyond Sustainability, MSc;;;Architecture and Urban Design, MSc;;;Design and Construction Project Management, MSc;;;Infrastructure and Environmental Engineering, MSc;;;Sound and Vibration, MSc;;;Structural Engineering and Building Technology, MSc;;;Biotechnology, MSc;;;Innovative and Sustainable Chemical Engineering, MSc;;;Materials Chemistry, MSc;;;Biomedical Engineering, MSc;;;Communication Engineering, MSc;;;Computer Science - algorithms, languages and logic, MSc;;;Computer Systems and Networks, MSc;;;Data Science, MSc;;;Electric Power Engineering, MSc;;;Embedded Electronic System Design, MSc;;;High-Performance Computer Systems, MSc;;;Interaction Design and Technologies, MSc;;;Software Engineering and Technology, MSc;;;Wireless, Photonics and Space Engineering, MSc;;;Industrial Ecology, MSc;;;Sustainable Energy Systems, MSc;;;Complex Adaptive Systems, MSc;;;Engineering Mathematics and Computational Science, MSc;;;Nanotechnology, MSc;;;Physics, MSc;;;Entrepreneurship and Business Design, MSc;;;Management and Economics of Innovation, MSc;;;Quality and Operations Management, MSc;;;Supply Chain Management, MSc;;;Maritime Management, MSc;;;Naval Architecture and Ocean Engineering, MSc;;;Applied Mechanics, MSc;;;Automotive Engineering, MSc;;;Industrial Design Engineering, MSc;;;Materials Engineering, MSc;;;Product Development, MSc;;;Production Engineering, MSc;;;Systems, Control and Mechatronics, MSc;;;Lärande och ledarskap - Learning and Leadership, MSc, programme taught only in Swedish"
Radboud University,"American Studies;;;Arts and Culture Studies;;;Comparative European History;;;English Language and Culture;;;International Business Communication;;;Philosophy, Politics and Society;;;Biology;;;Chemistry;;;Computing Science;;;Molecular Life Sciences;;;Artificial Intelligence;;;Psychology;;;Business Administration;;;Economics and Business Economics;;;Arts and Culture;;;Historical, Literary & Cultural Studies (Research);;;History;;;Human Geography;;;International Business Communication;;;Linguistics;;;Linguistics and Communication Sciences (Research);;;North American Studies;;;Physics and Astronomy;;;International and European Law;;;Biomedical Sciences;;;Molecular Mechanisms of Disease (Research);;;Philosophy (Research);;;Philosophy and Science;;;Theology;;;Biology;;;Chemistry;;;Cognitive Neuroscience (Research);;;Computing Science;;;Information Sciences;;;Mathematics;;;Medical Biology;;;Molecular Life Sciences;;;Science;;;Anthropology and Development Studies;;;Artificial Intelligence;;;Behavioural Science (Research);;;Pedagogical Sciences;;;Psychology;;;Social and Cultural Science (Research);;;Business Administration;;;Economics;;;Environment and Society Studies;;;Political Science;;;Spatial Planning"
Mykolas Romeris University,"Financial Industry;;;Informatics and Digital Contents;;;Tourism management and heritage;;;Communication And Digital Marketing;;;International and Intercultural Communication;;;Social Work and Legal Fundamentals;;;English for Specific Purposes and the Second Foreign Language;;;Psychology;;;Applied Informatics and Business;;;Business Administration (MBA) (duration 1 year);;;Economics;;;Electronic Business Management;;;Financial Markets;;;Informatics and Visual Contents (joint study programme with Dongseo University, South Korea);;;Logistics Management;;;Master of Business Administration (MBA);;;International Politics and Economics;;;Management;;;Phd in Management;;;Public Administration;;;Public Relations Management;;;Social Technology Management;;;Social Work with Children and Youth (joint degree programme with Riga Straddins University, Latvia);;;Comparative Social Policy and Welfare (joint study programme with Tampere University, Finland and Johannes epler University Linz, Austria)* (Admission in 2020);;;Education;;;Philology;;;Business Psychology;;;Psychology;;;European and International Business Law;;;European Union Law and Governance (double diploma programme with Bordeaux University, France);;;Healthcare Law and Policy (joint study programme with Taras Shevchenko National University of Kyiv, Ukraine));;;Intellectual Property Law (joint study programme with Taras Shevchenko National University of Kyiv, Ukraine);;;International Law;;;Law;;;Law, Science and Techology;;;Law, Technology and Business;;;Legal Regulation of Public Administration and Human Rights (joint study programme with Taras Shevchenko University of Kyiv, Uraine);;;Private Law (joint study programme with Taras Shevchenko National University of Kyiv, Ukraine)"
Politecnico di Milano,PhD programmes;;;Architectural Design and History;;;Architecture - Built Environment - Interiors;;;Architecture – Building Architecture;;;Architecture and Urban Design;;;Building and Architectural Engineering;;;Landscape Architecture - Land Lanscape Heritage;;;Sustainable Architecture and Landscape Design;;;Urban Planning and Policy Design;;;Civil Engineering;;;Civil Engineering for Risk Mitigation;;;Environmental and Land Planning Engineering;;;Geoinformatics Engineering;;;Communication Design;;;Design & Engineering;;;Design for the Fashion System;;;Digital and Interaction Design;;;Integrated Product Design;;;Interior and Spatial Design;;;Product Service System Design;;;Aeronautical Engineering;;;Automation and Control Engineering;;;Bioinformatics for Computational Genomics;;;Biomedical Engineering;;;Chemical Engineering;;;Computer Science and Engineering;;;Cyber Risk Strategy and Governance;;;Electrical Engineering - Track Energy and Renewable Resouces;;;Electrical Engineering - Track Smart Grids;;;Electronics Engineering;;;Energy Engineering;;;Engineering Physics;;;Management Engineering;;;Management of Built Environment;;;Materials Engineering and Nanotechnology;;;Mathematical Engineering;;;Mechanical Engineering;;;Mobility Engineering;;;Music and Acoustic Engineering;;;Nuclear Engineering;;;Space Engineering;;;Telecommunication Engineering
The Hong Kong Polytechnic Univ ...,Bachelor of Business Administration (Honours) in Marketing;;;BBA (Hons) in Accountancy;;;BBA (Hons) in Accounting and Finance;;;BBA (Hons) in Financial Services;;;BBA (Hons) in Global Supply Chain Management;;;BBA (Hons) in International Shipping and Transport Logistics;;;BBA (Hons) in Management;;;BBA (Hons) in Marketing;;;Broad Discipline of Business;;;Bachelor of Business Administration (Honours) in Financial Services;;;Bachelor of Business Administration (Honours) in Accountancy;;;Bachelor of Science (Hons) in Hotel Management;;;Bachelor of Science (Hons) in Tourism and Events Management;;;Marketing & Management;;;China Business Studies Chinese Version;;;China Business Studies English Version;;;Logistics & Maritime Studies;;;Doctor of Business Administration;;;Master of / PgD in Professional Accounting (Mixed-mode);;;Master of Business Administration;;;Master of Corporate Finance;;;Master of Corporate Governance;;;Master of Finance (Financial Economics in Energy and Environment) - Full-time;;;Master of Finance (Investment Management);;;Master of Finance (Investment Management) - Full-time;;;MSc / PgD in Global Supply Chain Management;;;MSc / PgD in International Shipping and Transport Logistics (Mixed-mode);;;MSc in Accountancy (Mixed-mode);;;MSc in Business Management (Full-time);;;MSc in China Business Studies (Full-time);;;MSc in Management (Human Resource Management) - mixed mode;;;MSc in Management (Operations Management);;;MSc in Marketing Management (Mixed-mode);;;Master of Design (MDes) Design Practices;;;Master of Design (MDes) Design Strategies;;;Master of Design (MDes) Interaction Design;;;Master of Design (MDes) International Design and Business Management;;;Master of Design (MDes) Urban Environments Design;;;Accounting & Finance;;;Doctor of Hotel and Tourism Management;;;Doctor of Philosophy in Hotel and Tourism Management;;;Master of Science in Global Hospitality Business;;;Master of Science in International Hospitality Management;;;Master of Science in International Tourism and Convention Management;;;Master of Science in International Wine Management
IE School of Global and Public ...,Executive Master in Internationalization and Trade;;;International MBA + Master in International Relations (Dual Degree);;;Master in International Development;;;Master in International Relations
CREA - INSEEC U.,EBS Genève Bachelor in Business Development;;;Bachelor in Art Direction;;;Bachelor in Digital Marketing & Communication;;;Bachelor in Web & App Development;;;Master in Digital Marketing & Communication;;;Master in Luxury Marketing;;;Master in Sports Marketing & New Technologies;;;Master in Digital Marketing & Communication;;;Master in Luxury Marketing;;;MBA Entrepreneurship & Innovation
University of Stirling,"Global Cinema and Culture;;;Digital Media BA (Hons);;;English Studies BA (Hons);;;European Film and Media;;;Film and Media BA (Hons);;;Heritage and Tourism BA (Hons);;;History BA (Hons);;;International Management Studies with European Languages and Society BA (Hons);;;Journalism Studies BA (Hons);;;Law BA (Hons);;;Law LLB (Hons);;;Modern Languages BA (Hons);;;Philosophy BA (Hons);;;Politics (International) BA (Hons);;;Politics BA (Hons);;;Politics, Philosophy and Economics: PPE BA (Hons);;;Religion BA (Hons);;;Scottish History BA (Hons);;;Spanish and Latin American Studies BA (Hons);;;Nursing (Adult) BSc;;;Nursing (Mental Health) BSc;;;Sport and Exercise Science BSc (Hons);;;Sport Studies BA (Hons);;;Animal Biology BSc (Hons);;;Applied Biological Sciences BSc (Hons);;;Applied Computing BSc (Hons);;;Applied Mathematics BSc (Hons);;;Aquaculture BSc (Hons);;;Biology BSc (Hons);;;Business Computing BSc (Hons);;;Cell Biology BSc (Hons);;;Computing Science BSc (Hons);;;Conservation Biology and Management BSc (Hons);;;Ecology BSc (Hons);;;Environmental Geography and Outdoor Education BSc (Hons);;;Environmental Science and Outdoor Education BSc (Hons);;;Environmental Science BSc (Hons);;;Environmental Science MSci;;;Geography, Environmental BSc (Hons);;;Marine Biology BSc (Hons);;;Mathematics BSc (Hons);;;Psychology BA (Hons)/BSc (Hons);;;Software Engineering BSc (Hons);;;Criminology and Social Policy BA (Hons);;;Criminology and Sociology BA (Hons);;;Criminology and Sociology BA (Hons);;;Education (Primary) BA (Hons)/BSc (Hons);;;Education (Secondary) BA (Hons)/BSc (Hons);;;Social Work BA (Hons);;;Sociology and Social Policy BA (Hons);;;Teaching Qualification in Further Education (TQFE) - In Service BA;;;Teaching Qualification in Further Education Pre-service BA;;;Accountancy and Finance BAcc (Hons);;;Accountancy BAcc (Hons);;;Business Studies BA (Hons);;;Economics BA (Hons);;;Finance BA (Hons);;;French BA (Hons);;;Human Resource Management BA (Hons);;;Management BSc;;;Marketing BA (Hons);;;Professional Accountancy BA (Hons);;;Retail Marketing BA (Hons);;;Sport Business Management BA (Hons);;;Sustainable Events Management BA (Hons);;;Creative Writing MLitt;;;Digital Media and Society MSc;;;Doctor of Diplomacy DDipl;;;English Language and Linguistics MSc;;;Environment, Heritage and Policy MSc/LLM;;;Environmental Policy and Governance MSc;;;Gender Studies (Applied) MLitt/MSc;;;Historical Research MRes;;;Human Rights and Diplomacy MSc;;;Humanities MRes;;;International Conflict and Cooperation MSc;;;International Energy Law and Policy LLM;;;International Journalism MSc;;;Masters of Literature in Modern Scottish Writing;;;Media Management MSc;;;Media Research;;;Philosophy MLitt;;;Public Policy MPP;;;Publishing Studies (MLitt);;;Publishing Studies MRes;;;Scottish Literature MLitt;;;Strategic Communication and Public Relations (PFU) MSc;;;Strategic Public Relations and Communication Mgt MSc;;;Strategic Public Relations MSc;;;Television Content Development and Production MSc;;;The Gothic Imagination MLitt;;;Translation and Conference Interpreting;;;Translation Studies with TESOL MSc;;;Clinical Doctorates;;;Early Years Practice Health Visiting MSc;;;Global Issues in Gerontology and Ageing MSc;;;Health Research MRes;;;Performance Coaching MSc;;;Psychology of Sport MSc;;;Public Health MPH;;;Sport Management MSc;;;Sport Nutrition MSc;;;Aquatic Pathobiology MSc;;;Aquatic Veterinary Studies MSc;;;Artificial Intelligence MSc;;;Big Data MSc;;;Big Data Science Professional Doctorate;;;Earth and Planetary Observation MSc;;;Environmental Management (Conservation) MSc;;;Environmental Management (Energy) MSc;;;Environmental Management MSc;;;Financial Technology (FinTech) MSc;;;Health Psychology MSc;;;Health Psychology Professional Doctorate;;;Human Animal Interaction MSc/MA;;;Mathematics and Data Science MSc;;;Psychological Research Methods (Autism Research) MSc;;;Psychological Research Methods (Bilingualism Research);;;Psychological Research Methods (Child Development) MSc;;;Psychological Research Methods (Evolutionary Psychology) MSc;;;Psychological Research Methods (General) MSc;;;Psychological Research Methods (Perception and Action) MSc;;;Psychological Research Methods (Psychology of Faces) MSc;;;Psychological Therapy in Primary Care MSc;;;Psychology (accredited conversion course) MSc;;;Research Methods (Cognition and Neuropsychology) MSc;;;Sustainable Aquaculture MSc;;;Applied Professional Studies MSc;;;Applied Social Research (Social Statistics and Social Research) MSc;;;Applied Social Research Doctorate;;;Applied Social Research MSc;;;COUNSELLING & PSYCHOTHERAPY;;;Criminological Research MRes;;;Criminology MSc;;;Dementia Studies (Online) MSc;;;Doctorate in Education;;;Education Studies and TESOL MSc;;;Educational Leadership (SQH) MSc;;;Educational Research MRes;;;Housing Studies (with internship) MSc;;;Management and English Language Teaching MSc;;;Professional Education and Leadership;;;Professional Education and Leadership MSc;;;Social Enterprise MSc;;;Social Work Studies MSc;;;Teaching English to Speakers of Other Languages (TESOL) (Online) MSc;;;Teaching English to Speakers of Other Languages (TESOL) MSc;;;Teaching Qualification in Further Education (TQFE) - In-service PGCert;;;Teaching Qualification in Further Education (TQFE) - Pre-service PGDip;;;TESOL Research PhD;;;Banking and Finance MSc;;;Behavioural Decision Making for Finance MSc;;;Behavioural Science for Management MSc;;;Business and Management (MBM) MSc;;;Data Science for Business MSc;;;Data Science for Business MSc (Online);;;Economics for Business and Policy MSc;;;Finance and Data Analytics;;;Finance and Economics MSc;;;Finance and Risk Management MSc;;;Finance MSc;;;Human Resource Management MSc;;;International Business MSc;;;Investment Analysis MSc;;;Marketing MSc;;;Master of Business Administration MBA;;;Master of Research in Business and Management;;;MSc International Accounting and Finance;;;Strategic Sustainable Business MSc"
National Research University M ...,Applied Mathematics and Informatics;;;Control in Engineering Systems;;;Informatics and Computer Engineering;;;Instrumentation;;;Electric Power Engineering and Electrical Engineering;;;Electronics and Nano-Electronics;;;Mechatronics and Robotics;;;Power Engineering Machinery;;;Thermal Power Engineering and Heat Engineering;;;Bioengineering Systems and Technologies;;;Radio Engineering;;;Nuclear Power Engineering and Thermophysics;;;Applied Mathematics and Informatics;;;Control in Engineering Systems;;;Informatics and Computer Engineering;;;Instrumentation;;;Electric Power Engineering and Electrical Engineering;;;Electronics and Nano-Electronics;;;Mechatronics and Robotics;;;Power Engineering Machinery;;;Thermal Power Engineering and Heat Engineering;;;Bioengineering Systems and Technologies;;;Radio Engineering;;;Nuclear Power Engineering and Thermophysics
Universidad ORT Uruguay,"Architect;;;BA in Interior Design;;;BA in Animation and Videogames;;;BA in Business Communication;;;BA in Communication - emphasis in Advertising and Marketing;;;BA in Communication - emphasis in Audiovisual;;;BA in Communication - emphasis in Digital Contents;;;BA in Communication - emphasis in Journalism;;;BA in Design, Art and Technology;;;BA in Fashion Design;;;BA in Graphic Design;;;BA in Industrial Design;;;BA in Multimedia Design;;;Biotechnology Engineer;;;BSc in Biotechnology;;;BSc in Information Systems;;;Electrical Engineer;;;Electronics Engineer;;;Software Systems Engineer;;;Telecommunications Engineer;;;BA in International Studies;;;BBA Bachelor in Business Administration;;;BSc in Accounting (CPA);;;BSc in Economics;;;Postgraduate Specialization Diploma in Real State Development;;;Master in Communication and Marketing Management;;;Postgraduate Specialization Diploma in Communication Management;;;Doctor Ph.D. in Education;;;Master in Education M.Ed.;;;Master in Training and Development for Trainers;;;Master of Arts M.A. in Educational Management;;;Postgraduate Diploma in Education;;;Postgraduate Diploma in Educational Planning and Management;;;Master in Big Data;;;Master of Engineering (Research);;;Postgraduate Specialization Diploma in Analytics of Big Data;;;Postgraduate Specialization Diploma in Artificial Intelligence;;;EMBA, Executive Blended MBA;;;Master of Business Administration MBA;;;Master of Science in Taxation and Accounting IFRS;;;Master of Science MSc in Financial Management;;;Master of Science MSc. in Accounting and Finance;;;Master of Science MSc. in Human Resources Management;;;Postgraduate Diploma in Finance;;;Postgraduate Diploma in Human Resources Management;;;Postgraduate Diploma in Marketing;;;Postgraduate Specialization Diploma in Accounting;;;Postgraduate Specialization Diploma in Business Analytics;;;Postgraduate Specialization Diploma in Taxation"
Atılım Üniversitesi,Airframe and Powerplant Maintenance;;;Arcihtecture;;;Automotive Engineering;;;Aviation Management;;;Avionics;;;Chemical Engineering and Applied Chemistry;;;Civil Engineering;;;Computer Engineering;;;Economics;;;Electrical and Electronical Engineering;;;Energy Systems Engineering;;;English Language and Literature;;;Fashion and Textile Design;;;Graphic Design;;;Industrial Engineering;;;Industrial Product Design;;;Information Systems Engineering;;;Interior Architecture and Environmental Design;;;International Relations;;;International Trade and Logistics;;;Law;;;Management;;;Manufacturing Engineering;;;Mathematics;;;Mechanical Engineering;;;Mechatronics Engineering;;;Metalurgy and Materials Engineering;;;Nursing;;;Nutrition and Dietetics;;;Physiotheraphy and Rehabilitation;;;Pilot Training;;;Political Science and Public Administration;;;Psychology;;;Public Finance;;;Public Relations and Advertising;;;Software Engineering;;;Tourism and Hotel management;;;Translation and Interpretation
Imperial College London,"Faculty of Engineering - Postgraduate programs;;;Faculty of Medicine - Postgraduate programs;;;Faculty of Natural Sciences - Postgraduate programs;;;Executive MBA;;;Full-Time MBA;;;Global Online MBA;;;Imperial College Business School;;;MSc Business Analytics;;;MSc Climate Change, Management & Finance;;;MSc Economics & Strategy for Business;;;MSc Finance;;;MSc Finance & Accounting;;;MSc Financial Technology;;;MSc Innovation, Entrepreneurship & Management;;;MSc International Health Management;;;MSc International Management;;;MSc Investment & Wealth Management;;;MSc Management;;;MSc Risk Management & Financial Engineering;;;MSc Strategic Marketing;;;Weekend MBA"
